USAGE_ID,ACCOUNT,DEPARTMENT,TS_SYNCHRONIZED,SERVICE,SKU,USAGE_SECONDS,COST_USD,REGION_CLEAN,SLA_STATUS,TICKET_ID,DATE,RI_UTILIZATION,RIGHTSIZE_FLAG,MTTR,ANOMALY_SCORE,UNIT_COST,CARBON_EMISSION,FORECAST_COST,TAG_SCORE,BLENDED_RATE,OPTIMIZATION_FLAG,BENCHMARK,TICKET_GROUP,CHURN_RISK,GROSS_MARGIN_PROXY,SECURITY_EVENTS
U7000,ACCT-010,Engineering,2026-03-15 14:00:00+00:00,Networking,LOADBALANCER,14455.0,,us-east-1,SLA_BREACH_ZONE,INTERNAL,2026-03-15,0.0002013074189199728,True,35,-0.3640188463141928,,2.891,,1,,False,,INT,False,,True
U7001,ACCT-009,Data Science,2026-03-15 14:00:00+00:00,Compute,VM-STD-4,15590.0,1559.0,ap-south-1,NORMAL_OPERATIONS,INTERNAL,2026-03-15,0.00021711398553873236,True,59,-0.3639414926290006,0.1,3.1180000000000003,,1,0.1,False,1.5200373050638982,INT,False,467.7,True
U7002,ACCT-011,Marketing,2026-03-16 03:00:00+00:00,Networking,VPN-GATEWAY,1015.0,,us-east-1,NORMAL_OPERATIONS,INTERNAL,2026-03-16,1.4135387769199059e-05,True,35,-0.36493482299171076,,0.203,,1,,False,,INT,True,,True
U7003,ACCT-012,Product,2026-03-30 19:00:00+00:00,Saas,EMAIL-API,9165.0,916.5,us-east-1,NORMAL_OPERATIONS,INTERNAL,2026-03-30,0.00012763628463518164,True,35,-0.3643793758249123,0.1,1.8330000000000002,,1,0.1,False,0.8935947338621314,INT,False,274.95,True
U7004,ACCT-012,Product,2026-03-30 19:00:00+00:00,Storage,COLD-ARCHIVE,3491.0,349.1,us-east-1,NORMAL_OPERATIONS,T-XXX,2026-03-30,4.8617378031796966e-05,True,22,-0.3647660760978466,0.1,0.6982,,1,0.1,False,0.3403752554187344,T-X,True,104.73,True
U7005,ACCT-012,Product,2026-03-30 19:00:00+00:00,Saas,MONITORING-APP,19586.0,1958.6,eu-west-1,NORMAL_OPERATIONS,INTERNAL,2026-03-30,0.0002727642412290963,True,27,-0.3636691531347028,0.09999999999999999,3.9172000000000002,1074.7333333333333,1,0.09999999999999999,False,1.909650459075145,INT,False,587.5799999999999,True
U7006,ACCT-012,Product,2026-03-30 19:00:00+00:00,Compute,VM-STD-4,17090.0,1709.0,global,NORMAL_OPERATIONS,INTERNAL,2026-03-30,0.00023800372115823836,True,23,-0.36383926308909903,0.1,3.418,1338.8999999999999,1,0.1,False,1.666288489002054,INT,True,512.6999999999999,True
U7007,ACCT-013,UNASSIGNED,2026-03-30 19:00:00+00:00,Compute,VM-STD-4,16402.0,1640.2,global,NORMAL_OPERATIONS,INTERNAL,2026-03-30,0.00022842229575409162,True,41,-0.36388615237140054,0.1,3.2804,1769.2666666666667,1,0.1,False,1.5992079459690867,INT,True,492.06,True
U7008,ACCT-010,Engineering,2026-03-30 18:55:00+00:00,Database,NOSQL-TBL,7524000.0,209.0,ap-south-1,NORMAL_OPERATIONS,T-XXX,2026-03-30,0.1047829138674421,False,40,0.14777937383251644,2.777777777777778e-05,1504.8000000000002,1186.0666666666666,1,2.777777777777778e-05,False,0.20377664962049696,T-X,False,62.699999999999996,True
U7009,ACCT-011,Marketing,2026-03-30 18:55:00+00:00,Database,RDS-MULTIAZ,11404.0,1140.4,ap-south-1,NORMAL_OPERATIONS,T-XXX,2026-03-30,0.00015881769666989761,True,40,-0.36422678119835256,0.1,2.2808,996.5333333333334,1,0.1,False,1.111899001087152,T-X,True,342.12,True
U7010,ACCT-009,Data Science,2026-03-30 19:00:00+00:00,Networking,DATATRANSFER,30300.0,,global,NORMAL_OPERATIONS,T-XXX,2026-03-30,0.0004219726595140212,True,44,-0.3629389616076993,,6.0600000000000005,,1,,False,,T-X,False,,True
U7011,ACCT-010,Engineering,2026-03-15 04:00:00+00:00,Networking,VPN-GATEWAY,1224.0,122.4,global,NORMAL_OPERATIONS,T-XXX,2026-03-15,1.7046024265516895e-05,True,11,-0.36492057900915115,0.1,0.24480000000000002,,1,0.1,False,0.11934096609353506,T-X,True,36.72,True
U7012,ACCT-012,Product,2026-03-10 04:00:00+00:00,Networking,VPN-GATEWAY,11116.0,1111.6,eu-west-1,NORMAL_OPERATIONS,INTERNAL,2026-03-10,0.00015480686743095246,True,58,-0.36424640927001367,0.09999999999999999,2.2232000000000003,,1,0.09999999999999999,False,1.0838187737710259,INT,False,333.47999999999996,True
U7013,ACCT-009,Data Science,2026-03-10 04:00:00+00:00,Saas,AUTH-SERVICE,18402.0,1840.2,eu-west-1,NORMAL_OPERATIONS,INTERNAL,2026-03-10,0.0002562752765800996,True,48,-0.36374984631819846,0.1,3.6804,1024.7333333333333,1,0.1,False,1.7942095245532943,INT,False,552.06,True
